Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageCars,GarageArea,GarageQual,PavedDrive,WoodDeckSF,PoolArea,PoolQC,Fence,MoSold,YrSold,SaleType,SaleCondition,SalePrice,SalePriceOverMean
11,20,RL,70,11200,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,1Fam,1Story,5,5,1965,1965,Hip,CompShg,HdBoard,CBlock,TA,TA,No,Rec,906,1040,GasA,Ex,Y,SBrkr,1040,0,3,1,TA,5,Typ,0,NA,Detchd,1965,1,384,TA,Y,0,0,NA,NA,2,2008,WD,Normal,129500,FALSE
12,60,RL,85,11924,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,1Fam,2Story,9,5,2005,2006,Hip,CompShg,WdShing,PConc,Ex,TA,No,GLQ,998,1175,GasA,Ex,Y,SBrkr,1182,1142,4,1,Ex,11,Typ,2,Gd,BuiltIn,2005,3,736,TA,Y,147,0,NA,NA,7,2006,New,Partial,345000,TRUE
13,20,RL,NA,12968,Pave,NA,IR2,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,1Fam,1Story,5,6,1962,1962,Hip,CompShg,HdBoard,CBlock,TA,TA,No,ALQ,737,912,GasA,TA,Y,SBrkr,912,0,2,1,TA,4,Typ,0,NA,Detchd,1962,1,352,TA,Y,140,0,NA,NA,9,2008,WD,Normal,144000,FALSE
14,20,RL,91,10652,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,1Fam,1Story,7,5,2006,2007,Gable,CompShg,VinylSd,PConc,Gd,TA,Av,Unf,0,1494,GasA,Ex,Y,SBrkr,1494,0,3,1,Gd,7,Typ,1,Gd,Attchd,2006,3,840,TA,Y,160,0,NA,NA,8,2007,New,Partial,279500,TRUE
15,20,RL,NA,10920,Pave,NA,IR1,Lvl,AllPub,Corner,Gtl,"NAmes",Norm,1Fam,1Story,6,5,1960,1960,Hip,CompShg,MetalSd,CBlock,TA,TA,No,BLQ,733,1253,GasA,TA,Y,SBrkr,1253,0,2,1,TA,5,Typ,1,Fa,Attchd,1960,1,352,TA,Y,0,0,NA,GdWo,5,2008,WD,Normal,157000,FALSE
16,45,RM,51,6120,Pave,NA,Reg,Lvl,AllPub,Corner,Gtl,BrkSide,Norm,1Fam,1.5Unf,7,8,1929,2001,Gable,CompShg,Wd Sdng,BrkTil,TA,TA,No,Unf,0,832,GasA,Ex,Y,FuseA,854,0,2,1,TA,5,Typ,0,NA,Detchd,1991,2,576,TA,Y,48,0,NA,GdPrv,7,2007,WD,Normal,132000,FALSE
17,20,RL,NA,11241,Pave,NA,IR1,Lvl,AllPub,CulDSac,Gtl,"NAmes",Norm,1Fam,1Story,6,7,1970,1970,Gable,CompShg,Wd Sdng,CBlock,TA,TA,No,ALQ,578,1004,GasA,Ex,Y,SBrkr,1004,0,2,1,TA,5,Typ,1,TA,Attchd,1970,2,480,TA,Y,0,0,NA,NA,3,2010,WD,Normal,149000,FALSE
18,90,RL,72,10791,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Duplex,1Story,4,5,1967,1967,Gable,CompShg,MetalSd,Slab,NA,NA,NA,NA,0,0,GasA,TA,Y,SBrkr,1296,0,2,2,TA,6,Typ,0,NA,CarPort,1967,2,516,TA,Y,0,0,NA,NA,10,2006,WD,Normal,90000,FALSE
19,20,RL,66,13695,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,RRAe,1Fam,1Story,5,5,2004,2004,Gable,CompShg,VinylSd,PConc,TA,TA,No,GLQ,646,1114,GasA,Ex,Y,SBrkr,1114,0,3,1,Gd,6,Typ,0,NA,Detchd,2004,2,576,TA,Y,0,0,NA,NA,6,2008,WD,Normal,159000,FALSE
20,20,RL,70,7560,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,"NAmes",Norm,1Fam,1Story,5,6,1958,1965,Hip,CompShg,BrkFace,CBlock,TA,TA,No,LwQ,504,1029,GasA,TA,Y,SBrkr,1339,0,3,1,TA,6,Min1,0,NA,Attchd,1958,1,294,TA,Y,0,0,NA,MnPrv,5,2009,COD,Abnorml,139000,FALSE
21,60,RL,101,14215,Pave,NA,IR1,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,1Fam,2Story,8,5,2005,2006,Gable,CompShg,VinylSd,PConc,Ex,TA,Av,Unf,0,1158,GasA,Ex,Y,SBrkr,1158,1218,4,1,Gd,9,Typ,1,Gd,BuiltIn,2005,3,853,TA,Y,240,0,NA,NA,11,2006,New,Partial,325300,TRUE
22,45,RM,57,7449,Pave,Grvl,Reg,Bnk,AllPub,Inside,Gtl,IDOTRR,Norm,1Fam,1.5Unf,7,7,1930,1950,Gable,CompShg,Wd Sdng,PConc,TA,TA,No,Unf,0,637,GasA,Ex,Y,FuseF,1108,0,3,1,Gd,6,Typ,1,Gd,Attchd,1930,1,280,TA,N,0,0,NA,GdPrv,6,2007,WD,Normal,139400,FALSE
23,20,RL,75,9742,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,1Fam,1Story,8,5,2002,2002,Hip,CompShg,VinylSd,PConc,Gd,TA,No,Unf,0,1777,GasA,Ex,Y,SBrkr,1795,0,3,1,Gd,7,Typ,1,Gd,Attchd,2002,2,534,TA,Y,171,0,NA,NA,9,2008,WD,Normal,230000,TRUE
24,120,RM,44,4224,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,MeadowV,Norm,TwnhsE,1Story,5,7,1976,1976,Gable,CompShg,CemntBd,PConc,Gd,TA,No,GLQ,840,1040,GasA,TA,Y,SBrkr,1060,0,3,1,TA,6,Typ,1,TA,Attchd,1976,2,572,TA,Y,100,0,NA,NA,6,2007,WD,Normal,129900,FALSE
25,20,RL,NA,8246,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,1Fam,1Story,5,8,1968,2001,Gable,CompShg,Plywood,CBlock,TA,TA,Mn,Rec,188,1060,GasA,Ex,Y,SBrkr,1060,0,3,1,Gd,6,Typ,1,TA,Attchd,1968,1,270,TA,Y,406,0,NA,MnPrv,5,2010,WD,Normal,154000,FALSE
26,20,RL,110,14230,Pave,NA,Reg,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,1Fam,1Story,8,5,2007,2007,Gable,CompShg,VinylSd,PConc,Gd,TA,No,Unf,0,1566,GasA,Ex,Y,SBrkr,1600,0,3,1,Gd,7,Typ,1,Gd,Attchd,2007,3,890,TA,Y,0,0,NA,NA,7,2009,WD,Normal,256300,TRUE
27,20,RL,60,7200,Pave,NA,Reg,Lvl,AllPub,Corner,Gtl,"NAmes",Norm,1Fam,1Story,5,7,1951,2000,Gable,CompShg,Wd Sdng,CBlock,TA,TA,Mn,BLQ,234,900,GasA,TA,Y,SBrkr,900,0,3,1,Gd,5,Typ,0,NA,Detchd,2005,2,576,TA,Y,222,0,NA,NA,5,2010,WD,Normal,134800,FALSE
28,20,RL,98,11478,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,1Fam,1Story,8,5,2007,2008,Gable,CompShg,VinylSd,PConc,Ex,TA,No,GLQ,1218,1704,GasA,Ex,Y,SBrkr,1704,0,3,1,Gd,7,Typ,1,Gd,Attchd,2008,3,772,TA,Y,0,0,NA,NA,5,2010,WD,Normal,306000,TRUE
29,20,RL,47,16321,Pave,NA,IR1,Lvl,AllPub,CulDSac,Gtl,"NAmes",Norm,1Fam,1Story,5,6,1957,1997,Gable,CompShg,MetalSd,CBlock,TA,TA,Gd,BLQ,1277,1484,GasA,TA,Y,SBrkr,1600,0,2,1,TA,6,Typ,2,Gd,Attchd,1957,1,319,TA,Y,288,0,NA,NA,12,2006,WD,Normal,207500,TRUE
30,30,RM,60,6324,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,BrkSide,Feedr,1Fam,1Story,4,6,1927,1950,Gable,CompShg,MetalSd,BrkTil,TA,TA,No,Unf,0,520,GasA,Fa,N,SBrkr,520,0,1,1,Fa,4,Typ,0,NA,Detchd,1920,1,240,Fa,Y,49,0,NA,NA,5,2008,WD,Normal,68500,FALSE
31,70,C (all),50,8500,Pave,Pave,Reg,Lvl,AllPub,Inside,Gtl,IDOTRR,Feedr,1Fam,2Story,4,4,1920,1950,Gambrel,CompShg,BrkFace,BrkTil,TA,TA,No,Unf,0,649,GasA,TA,N,SBrkr,649,668,3,1,TA,6,Typ,0,NA,Detchd,1920,1,250,TA,N,0,0,NA,MnPrv,7,2008,WD,Normal,40000,FALSE
32,20,RL,NA,8544,Pave,NA,IR1,Lvl,AllPub,CulDSac,Gtl,Sawyer,Norm,1Fam,1Story,5,6,1966,2006,Gable,CompShg,HdBoard,CBlock,TA,TA,No,Unf,0,1228,GasA,Gd,Y,SBrkr,1228,0,3,1,Gd,6,Typ,0,NA,Attchd,1966,1,271,TA,Y,0,0,NA,MnPrv,6,2008,WD,Normal,149350,FALSE
33,20,RL,85,11049,Pave,NA,Reg,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,1Fam,1Story,8,5,2007,2007,Gable,CompShg,VinylSd,PConc,Ex,TA,Av,Unf,0,1234,GasA,Ex,Y,SBrkr,1234,0,3,1,Gd,7,Typ,0,NA,Attchd,2007,2,484,TA,Y,0,0,NA,NA,1,2008,WD,Normal,179900,FALSE
34,20,RL,70,10552,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,"NAmes",Norm,1Fam,1Story,5,5,1959,1959,Hip,CompShg,BrkFace,CBlock,TA,TA,No,Rec,1018,1398,GasA,Gd,Y,SBrkr,1700,0,4,1,Gd,6,Typ,1,Gd,Attchd,1959,2,447,TA,Y,0,0,NA,NA,4,2010,WD,Normal,165500,FALSE
35,120,RL,60,7313,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,TwnhsE,1Story,9,5,2005,2005,Hip,CompShg,MetalSd,PConc,Ex,TA,No,GLQ,1153,1561,GasA,Ex,Y,SBrkr,1561,0,2,1,Ex,6,Typ,1,Gd,Attchd,2005,2,556,TA,Y,203,0,NA,NA,8,2007,WD,Normal,277500,TRUE
36,60,RL,108,13418,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,1Fam,2Story,8,5,2004,2005,Gable,CompShg,VinylSd,PConc,Ex,TA,Av,Unf,0,1117,GasA,Ex,Y,SBrkr,1132,1320,4,1,Gd,9,Typ,1,Gd,BuiltIn,2004,3,691,TA,Y,113,0,NA,NA,9,2006,WD,Normal,309000,TRUE
37,20,RL,112,10859,Pave,NA,Reg,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,1Fam,1Story,5,5,1994,1995,Gable,CompShg,VinylSd,PConc,Gd,TA,No,Unf,0,1097,GasA,Ex,Y,SBrkr,1097,0,3,1,TA,6,Typ,0,NA,Attchd,1995,2,672,TA,Y,392,0,NA,NA,6,2009,WD,Normal,145000,FALSE
38,20,RL,74,8532,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,"NAmes",Norm,1Fam,1Story,5,6,1954,1990,Hip,CompShg,Wd Sdng,CBlock,TA,TA,No,Rec,1213,1297,GasA,Gd,Y,SBrkr,1297,0,3,1,TA,5,Typ,1,TA,Attchd,1954,2,498,TA,Y,0,0,NA,NA,10,2009,WD,Normal,153000,FALSE
39,20,RL,68,7922,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,"NAmes",Norm,1Fam,1Story,5,7,1953,2007,Gable,CompShg,VinylSd,CBlock,TA,TA,No,GLQ,731,1057,GasA,TA,Y,SBrkr,1057,0,3,1,Gd,5,Typ,0,NA,Detchd,1953,1,246,TA,Y,0,0,NA,NA,1,2010,WD,Abnorml,109000,FALSE
40,90,RL,65,6040,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Duplex,1Story,4,5,1955,1955,Gable,CompShg,AsbShng,PConc,NA,NA,NA,NA,0,0,GasA,TA,N,FuseP,1152,0,2,2,Fa,6,Typ,0,NA,NA,NA,0,0,NA,N,0,0,NA,NA,6,2008,WD,AdjLand,82000,FALSE
41,20,RL,84,8658,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,"NAmes",Norm,1Fam,1Story,6,5,1965,1965,Gable,CompShg,Wd Sdng,CBlock,TA,TA,No,Rec,643,1088,GasA,Ex,Y,SBrkr,1324,0,3,1,TA,6,Typ,1,TA,Attchd,1965,2,440,TA,Y,0,0,NA,GdWo,12,2006,WD,Abnorml,160000,FALSE
42,20,RL,115,16905,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Timber,Norm,1Fam,1Story,5,6,1959,1959,Gable,CompShg,VinylSd,CBlock,TA,TA,Gd,BLQ,967,1350,GasA,Gd,Y,SBrkr,1328,0,2,1,TA,5,Typ,2,Gd,Attchd,1959,1,308,TA,P,0,0,NA,NA,7,2007,WD,Normal,170000,FALSE
43,85,RL,NA,9180,Pave,NA,IR1,Lvl,AllPub,CulDSac,Gtl,SawyerW,Norm,1Fam,SFoyer,5,7,1983,1983,Gable,CompShg,HdBoard,CBlock,Gd,TA,Av,ALQ,747,840,GasA,Gd,Y,SBrkr,884,0,2,1,Gd,5,Typ,0,NA,Attchd,1983,2,504,TA,Y,240,0,NA,MnPrv,12,2007,WD,Normal,144000,FALSE
44,20,RL,NA,9200,Pave,NA,IR1,Lvl,AllPub,CulDSac,Gtl,CollgCr,Norm,1Fam,1Story,5,6,1975,1980,Hip,CompShg,VinylSd,CBlock,Gd,TA,Av,LwQ,280,938,GasA,TA,Y,SBrkr,938,0,3,1,TA,5,Typ,0,NA,Detchd,1977,1,308,TA,Y,145,0,NA,MnPrv,7,2008,WD,Normal,130250,FALSE
45,20,RL,70,7945,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,"NAmes",Norm,1Fam,1Story,5,6,1959,1959,Gable,CompShg,BrkFace,CBlock,TA,TA,No,ALQ,179,1150,GasA,Ex,Y,FuseA,1150,0,3,1,TA,6,Typ,0,NA,Attchd,1959,1,300,TA,Y,0,0,NA,NA,5,2006,WD,Normal,141000,FALSE
46,120,RL,61,7658,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,TwnhsE,1Story,9,5,2005,2005,Hip,CompShg,MetalSd,PConc,Ex,TA,No,GLQ,456,1752,GasA,Ex,Y,SBrkr,1752,0,2,1,Ex,6,Typ,1,Gd,Attchd,2005,2,576,TA,Y,196,0,NA,NA,2,2010,WD,Normal,319900,TRUE
47,50,RL,48,12822,Pave,NA,IR1,Lvl,AllPub,CulDSac,Gtl,Mitchel,Norm,1Fam,1.5Fin,7,5,2003,2003,Gable,CompShg,VinylSd,PConc,Ex,TA,No,GLQ,1351,1434,GasA,Ex,Y,SBrkr,1518,631,1,1,Gd,6,Typ,1,Ex,Attchd,2003,2,670,TA,Y,168,0,NA,NA,8,2009,WD,Abnorml,239686,TRUE
48,20,FV,84,11096,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,1Fam,1Story,8,5,2006,2006,Gable,CompShg,VinylSd,PConc,Gd,TA,Av,GLQ,24,1656,GasA,Ex,Y,SBrkr,1656,0,3,1,Gd,7,Typ,0,NA,Attchd,2006,3,826,TA,Y,0,0,NA,NA,7,2007,WD,Normal,249700,TRUE
49,190,RM,33,4456,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,2fmCon,2Story,4,5,1920,2008,Gable,CompShg,MetalSd,BrkTil,TA,TA,No,Unf,0,736,GasA,Gd,Y,SBrkr,736,716,2,3,TA,8,Typ,0,NA,NA,NA,0,0,NA,N,0,0,NA,NA,6,2009,New,Partial,113000,FALSE
50,20,RL,66,7742,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,1Fam,1Story,5,7,1966,1966,Gable,CompShg,HdBoard,CBlock,TA,TA,No,BLQ,763,955,GasA,Ex,Y,SBrkr,955,0,3,1,TA,6,Typ,0,NA,Attchd,1966,1,386,TA,Y,0,0,NA,MnPrv,1,2007,WD,Normal,127000,FALSE
51,60,RL,NA,13869,Pave,NA,IR2,Lvl,AllPub,Corner,Gtl,Gilbert,Norm,1Fam,2Story,6,6,1997,1997,Gable,CompShg,VinylSd,PConc,Gd,TA,Av,GLQ,182,794,GasA,Gd,Y,SBrkr,794,676,3,1,TA,6,Typ,0,NA,Attchd,1997,2,388,TA,Y,0,0,NA,NA,7,2007,WD,Normal,177000,FALSE
52,50,RM,52,6240,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,BrkSide,Norm,1Fam,1.5Fin,6,6,1934,1950,Gable,CompShg,Wd Sdng,PConc,TA,TA,No,Unf,0,816,GasA,TA,Y,SBrkr,816,0,3,1,TA,6,Typ,1,Gd,Detchd,1985,2,528,TA,Y,112,0,NA,MnPrv,9,2006,WD,Normal,114500,FALSE
53,90,RM,110,8472,Grvl,NA,IR2,Bnk,AllPub,Corner,Mod,IDOTRR,RRNn,Duplex,1Story,5,5,1963,1963,Gable,CompShg,Wd Sdng,CBlock,Gd,TA,Gd,LwQ,104,816,GasA,TA,N,SBrkr,816,0,2,1,TA,5,Typ,0,NA,CarPort,1963,2,516,TA,Y,106,0,NA,NA,5,2010,WD,Normal,110000,FALSE
54,20,RL,68,50271,Pave,NA,IR1,Low,AllPub,Inside,Gtl,Veenker,Norm,1Fam,1Story,9,5,1981,1987,Gable,WdShngl,WdShing,CBlock,Ex,TA,Gd,GLQ,1810,1842,GasA,Gd,Y,SBrkr,1842,0,0,1,Gd,5,Typ,1,Gd,Attchd,1981,3,894,TA,Y,857,0,NA,NA,11,2006,WD,Normal,385000,TRUE
55,80,RL,60,7134,Pave,NA,Reg,Bnk,AllPub,Inside,Mod,"NAmes",Norm,1Fam,SLvl,5,5,1955,1955,Gable,CompShg,MetalSd,CBlock,TA,TA,No,ALQ,384,384,GasA,TA,Y,SBrkr,1360,0,3,1,TA,6,Min1,1,TA,Detchd,1962,2,572,TA,Y,0,0,NA,MnPrv,2,2007,WD,Normal,130000,FALSE
56,20,RL,100,10175,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,"NAmes",Norm,1Fam,1Story,6,5,1964,1964,Gable,CompShg,HdBoard,CBlock,TA,TA,No,BLQ,490,1425,GasA,Gd,Y,SBrkr,1425,0,3,1,TA,7,Typ,1,Gd,Attchd,1964,2,576,TA,Y,0,0,NA,NA,7,2008,WD,Normal,180500,FALSE
57,160,FV,24,2645,Pave,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Twnhs,2Story,8,5,1999,2000,Gable,CompShg,MetalSd,PConc,Gd,TA,No,GLQ,649,970,GasA,Ex,Y,SBrkr,983,756,3,1,Gd,7,Typ,0,NA,Attchd,1999,2,480,TA,Y,115,0,NA,NA,8,2009,WD,Abnorml,172500,FALSE
58,60,RL,89,11645,Pave,NA,IR1,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,1Fam,2Story,7,5,2004,2004,Gable,CompShg,VinylSd,PConc,Gd,TA,No,Unf,0,860,GasA,Ex,Y,SBrkr,860,860,3,1,Gd,7,Typ,0,NA,Attchd,2004,2,565,TA,Y,0,0,NA,NA,8,2006,WD,Normal,196500,TRUE
59,60,RL,66,13682,Pave,NA,IR2,HLS,AllPub,CulDSac,Gtl,StoneBr,Norm,1Fam,2Story,10,5,2006,2006,Hip,CompShg,VinylSd,PConc,Ex,TA,Gd,Unf,0,1410,GasA,Ex,Y,SBrkr,1426,1519,3,1,Gd,10,Typ,1,Gd,BuiltIn,2006,3,641,TA,Y,192,0,NA,NA,10,2006,New,Partial,438780,TRUE
60,20,RL,60,7200,Pave,NA,Reg,Bnk,AllPub,Inside,Gtl,CollgCr,Norm,1Fam,1Story,5,7,1972,1972,Gable,CompShg,HdBoard,CBlock,TA,TA,Av,ALQ,632,780,GasA,Ex,Y,SBrkr,780,0,2,1,TA,4,Typ,0,NA,Detchd,1973,1,352,TA,Y,196,0,NA,MnPrv,1,2008,WD,Normal,124900,FALSE
61,20,RL,63,13072,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,RRAe,1Fam,1Story,6,5,2004,2004,Gable,CompShg,VinylSd,PConc,Gd,TA,No,ALQ,941,1158,GasA,Ex,Y,SBrkr,1158,0,3,1,Gd,5,Typ,0,NA,Detchd,2006,2,576,TA,Y,0,0,NA,NA,5,2006,New,Partial,158000,FALSE
62,75,RM,60,7200,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,IDOTRR,Norm,1Fam,2.5Unf,5,7,1920,1996,Gable,CompShg,MetalSd,BrkTil,TA,Fa,No,Unf,0,530,GasA,TA,N,SBrkr,581,530,3,1,Fa,6,Typ,0,NA,Detchd,1935,1,288,TA,N,0,0,NA,NA,3,2007,WD,Normal,101000,FALSE
63,120,RL,44,6442,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,TwnhsE,1Story,8,5,2006,2006,Gable,CompShg,VinylSd,PConc,Gd,Gd,Mn,GLQ,24,1370,GasA,Ex,Y,SBrkr,1370,0,2,1,Gd,6,Typ,1,Gd,Attchd,2006,2,484,TA,Y,120,0,NA,NA,10,2007,WD,Normal,202500,TRUE
64,70,RM,50,10300,Pave,NA,IR1,Bnk,AllPub,Inside,Gtl,OldTown,RRAn,1Fam,2Story,7,6,1921,1950,Gable,CompShg,Stucco,BrkTil,TA,TA,No,Unf,0,576,GasA,Gd,Y,SBrkr,902,808,3,1,TA,9,Typ,0,NA,Detchd,1990,2,480,TA,Y,12,0,NA,GdPrv,4,2010,WD,Normal,140000,FALSE
65,60,RL,NA,9375,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,1Fam,2Story,7,5,1997,1998,Gable,CompShg,VinylSd,PConc,Gd,TA,No,GLQ,739,1057,GasA,Ex,Y,SBrkr,1057,977,3,1,Gd,8,Typ,0,NA,Attchd,1998,2,645,TA,Y,576,0,NA,GdPrv,2,2009,WD,Normal,219500,TRUE
66,60,RL,76,9591,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,1Fam,2Story,8,5,2004,2005,Gable,CompShg,VinylSd,PConc,Ex,TA,Av,Unf,0,1143,GasA,Ex,Y,SBrkr,1143,1330,4,1,Gd,9,Typ,1,Gd,BuiltIn,2004,3,852,TA,Y,192,0,NA,NA,10,2007,WD,Normal,317000,TRUE
